message_size_bytes,time_stat,time_seconds,algbw_GBps,num_reps
8,min,1.015e-07,0.0788177,1000
8,mean,1.61138e-07,0.0496467,1000
8,median,1.585e-07,0.0504732,1000
8,max,3.444e-06,0.00232288,1000
8,stddev,1.08785e-07,0.0735396,1000
16,min,1.305e-07,0.122605,1000
16,mean,2.23504e-07,0.0715869,1000
16,median,2.01e-07,0.079602,1000
16,max,1.16735e-05,0.00137063,1000
16,stddev,4.36217e-07,0.036679,1000
32,min,1.4e-07,0.228571,1000
32,mean,2.85143e-07,0.112224,1000
32,median,2.03e-07,0.157635,1000
32,max,5.7963e-05,0.000552076,1000
32,stddev,1.95812e-06,0.0163422,1000
64,min,1.55e-07,0.412903,1000
64,mean,2.76472e-07,0.231488,1000
64,median,2.085e-07,0.306954,1000
64,max,3.43405e-05,0.00186369,1000
64,stddev,1.25238e-06,0.0511029,1000
128,min,1.835e-07,0.697548,1000
128,mean,2.43172e-07,0.526376,1000
128,median,2.375e-07,0.538947,1000
128,max,3.744e-06,0.034188,1000
128,stddev,1.2585e-07,1.01708,1000
256,min,1.855e-07,1.38005,1000
256,mean,2.6473e-07,0.967021,1000
256,median,2.375e-07,1.07789,1000
256,max,1.07425e-05,0.0238306,1000
256,stddev,4.78563e-07,0.534934,1000
512,min,2.05e-07,2.49756,1000
512,mean,2.66111e-07,1.92401,1000
512,median,2.575e-07,1.98835,1000
512,max,5.7135e-06,0.0896123,1000
512,stddev,2.01933e-07,2.53549,1000
1024,min,2.715e-07,3.77164,1000
1024,mean,3.24092e-07,3.15959,1000
1024,median,3.205e-07,3.19501,1000
1024,max,3.9745e-06,0.257642,1000
1024,stddev,1.17062e-07,8.74751,1000
2048,min,3.79e-07,5.40369,1000
2048,mean,4.25908e-07,4.80855,1000
2048,median,4.105e-07,4.98904,1000
2048,max,7.469e-06,0.2742,1000
2048,stddev,2.27587e-07,8.99874,1000
4096,min,1.099e-06,3.72702,1000
4096,mean,1.25536e-06,3.2628,1000
4096,median,1.21575e-06,3.36911,1000
4096,max,1.06295e-05,0.385343,1000
4096,stddev,4.23107e-07,9.68076,1000
8192,min,1.494e-06,5.48327,1000
8192,mean,1.67761e-06,4.88315,1000
8192,median,1.615e-06,5.07245,1000
8192,max,3.2839e-05,0.249459,1000
8192,stddev,1.08365e-06,7.55967,1000
16384,min,2.294e-06,7.14211,1000
16384,mean,2.58975e-06,6.32648,1000
16384,median,2.4755e-06,6.61846,1000
16384,max,2.95805e-05,0.553878,1000
16384,stddev,1.20911e-06,13.5505,1000
32768,min,3.5155e-06,9.32101,1000
32768,mean,4.24111e-06,7.72627,1000
32768,median,4.027e-06,8.13707,1000
32768,max,4.5397e-05,0.72181,1000
32768,stddev,1.83004e-06,17.9056,1000
65536,min,5.2915e-06,12.3851,1000
65536,mean,6.99163e-06,9.37349,1000
65536,median,6.79975e-06,9.638,1000
65536,max,3.8719e-05,1.69261,1000
65536,stddev,1.63531e-06,40.0755,1000
131072,min,7.9865e-06,16.4117,1000
131072,mean,9.11461e-06,14.3804,1000
131072,median,8.875e-06,14.7687,1000
131072,max,2.68215e-05,4.88683,1000
131072,stddev,1.4425e-06,90.8644,1000
262144,min,1.53325e-05,17.0973,1000
262144,mean,1.69323e-05,15.4819,1000
262144,median,1.61818e-05,16.2,1000
262144,max,0.000253612,1.03364,1000
262144,stddev,7.94711e-06,32.9861,1000
524288,min,2.5866e-05,20.2694,1000
524288,mean,2.87582e-05,18.2309,1000
524288,median,2.74242e-05,19.1177,1000
524288,max,0.000193749,2.70602,1000
524288,stddev,6.93594e-06,75.5901,1000
1048576,min,4.78735e-05,21.9031,1000
1048576,mean,5.21921e-05,20.0907,1000
1048576,median,5.04282e-05,20.7934,1000
1048576,max,0.000179443,5.8435,1000
1048576,stddev,7.13715e-06,146.918,1000
2097152,min,8.6838e-05,24.1502,1000
2097152,mean,9.59543e-05,21.8557,1000
2097152,median,9.25828e-05,22.6516,1000
2097152,max,0.000258216,8.12171,1000
2097152,stddev,1.1206e-05,187.145,1000
4194304,min,0.000184362,22.7504,496
4194304,mean,0.000201665,20.7984,496
4194304,median,0.000198308,21.1504,496
4194304,max,0.000420231,9.98096,496
4194304,stddev,1.73859e-05,241.248,496
8388608,min,0.000388891,21.5706,225
8388608,mean,0.000445262,18.8397,225
8388608,median,0.000433357,19.3573,225
8388608,max,0.000701409,11.9597,225
8388608,stddev,4.19058e-05,200.178,225
16777216,min,0.00126122,13.3024,66
16777216,mean,0.00152551,10.9978,66
16777216,median,0.00150029,11.1826,66
16777216,max,0.00189381,8.85898,66
16777216,stddev,0.000139341,120.404,66
33554432,min,0.00320906,10.4561,29
33554432,mean,0.00346734,9.6773,29
33554432,median,0.00344627,9.73646,29
33554432,max,0.00372646,9.00437,29
33554432,stddev,0.000154301,217.461,29
67108864,min,0.00666423,10.07,15
67108864,mean,0.00696467,9.63562,15
67108864,median,0.00693492,9.67695,15
67108864,max,0.00722136,9.2931,15
67108864,stddev,0.000152902,438.902,15
134217728,min,0.0132361,10.1403,8
134217728,mean,0.0135926,9.8743,8
134217728,median,0.0135731,9.88848,8
134217728,max,0.0141252,9.50198,8
134217728,stddev,0.000325599,412.218,8
