algorithm,num_procs,dtype,message_size_bytes,time_stat,time_seconds,algbw_GBps,busbw_GBps,num_reps
ring,2,float,8,min,3.13e-07,0.0255591,0.0255591,1000
ring,2,float,8,mean,4.83198e-07,0.0165564,0.0165564,1000
ring,2,float,8,median,4.82e-07,0.0165975,0.0165975,1000
ring,2,float,8,max,8.04e-07,0.00995025,0.00995025,1000
ring,2,float,8,stddev,4.55655e-08,0.175571,0.175571,1000
mpi-default,2,float,8,min,1.66e-07,0.0481928,0.0481928,1000
mpi-default,2,float,8,mean,3.85353e-07,0.0207602,0.0207602,1000
mpi-default,2,float,8,median,3.32e-07,0.0240964,0.0240964,1000
mpi-default,2,float,8,max,4.1947e-05,0.000190717,0.000190717,1000
mpi-default,2,float,8,stddev,1.35801e-06,0.00589097,0.00589097,1000
ring,2,float,16,min,3.46e-07,0.0462428,0.0462428,1000
ring,2,float,16,mean,6.03355e-07,0.0265184,0.0265184,1000
ring,2,float,16,median,4.86e-07,0.0329218,0.0329218,1000
ring,2,float,16,max,3.2466e-05,0.000492823,0.000492823,1000
ring,2,float,16,stddev,1.5573e-06,0.0102742,0.0102742,1000
mpi-default,2,float,16,min,2.6e-07,0.0615385,0.0615385,1000
mpi-default,2,float,16,mean,3.7116e-07,0.0431081,0.0431081,1000
mpi-default,2,float,16,median,3.53e-07,0.0453258,0.0453258,1000
mpi-default,2,float,16,max,1.1211e-05,0.00142717,0.00142717,1000
mpi-default,2,float,16,stddev,3.49842e-07,0.0457349,0.0457349,1000
ring,2,float,32,min,3.54e-07,0.0903955,0.0903955,1000
ring,2,float,32,mean,5.52044e-07,0.0579664,0.0579664,1000
ring,2,float,32,median,5.375e-07,0.0595349,0.0595349,1000
ring,2,float,32,max,2.24e-06,0.0142857,0.0142857,1000
ring,2,float,32,stddev,1.00748e-07,0.317626,0.317626,1000
mpi-default,2,float,32,min,2.49e-07,0.128514,0.128514,1000
mpi-default,2,float,32,mean,4.07239e-07,0.0785779,0.0785779,1000
mpi-default,2,float,32,median,3.59e-07,0.0891365,0.0891365,1000
mpi-default,2,float,32,max,2.4102e-05,0.00132769,0.00132769,1000
